,NO3 (mg/L),NH4 (mg/L),NO2 (mg/L),PO3 (mg/L)
Y1,0.3046,0.024,0.0367,0.0242
Y2,0.301,0.011,0.0343,0.0211
Y3,0.1837,0.018,0.034,0.025
Y4,0.1812,0.004,0.0323,0.0166
Y5,0.25275,0.008,0.0235,0.01745
Y6,0.2913,0.0135,0.0298,0.01635
Y7,0.1236,0.003,0.0284,0.01315
Y8,0.1403,0.022,0.0292,0.02
Y9,0.1647,0.0205,0.0181,0.0175
Y10,0.1379,0.0115,0.0177,0.0179
Y11,0.12615,0.011,0.0172,0.0129
Y12,0.8747,0.05,0.0632,0.042
Y13,0.252,0.0705,0.03325,0.02815
Y14,0.1158,0.0035,0.02685,0.0183
Y15,0.12335,0.004,0.0115,0.0133
Y16,0.2617,0.016,0.0199,0.0244
Y17,0.1736,0.0275,0.0235,0.0171
Y18,0.11085,0.015,0.01955,0.02
Y19,0.11,0.0025,0.0135,0.0119
Y20,0.1087,0.003,0.0112,0.0133
Y21,0.10145,0.0215,0.0204,0.01695
Y22,0.1048,0.003,0.0147,0.0118
Y23,0.1469,0.0025,0.0132,0.0107
